Date,Username,Rating,Review Text,cleaning,case_folding,normalisasi,tokenize,stopword removal,stemming_data,Sentiment,Prediksi_Sentimen,Kategori
2026-05-16 14:46:52,Abah Obin,5,mudah untuk berbelanja apapun,mudah untuk berbelanja apapun,mudah untuk berbelanja apapun,mudah untuk berbelanja apapun,"['mudah', 'untuk', 'berbelanja', 'apapun']","['mudah', 'berbelanja', 'apapun']",mudah belanja apa,Positif,Positif,Umum
2026-05-16 13:50:35,delll paul,1,"dapet tokonya jauh banget dari rumah, padahal yang deket ada, jadinya lama banget nyampe nya",dapet tokonya jauh banget dari rumah padahal yang deket ada jadinya lama banget nyampe nya,dapet tokonya jauh banget dari rumah padahal yang deket ada jadinya lama banget nyampe nya,dapat tokonya jauh banget dari rumah padahal yang dekat ada jadinya lama banget sampai ya,"['dapat', 'tokonya', 'jauh', 'banget', 'dari', 'rumah', 'padahal', 'yang', 'dekat', 'ada', 'jadinya', 'lama', 'banget', 'sampai', 'ya']","['tokonya', 'banget', 'rumah', 'banget', 'ya']",toko banget rumah banget ya,Negatif,Negatif,Umum
2026-05-16 13:08:50,Fyzx,5,"harap ditingkatkan lagi, ty",harap ditingkatkan lagi ty,harap ditingkatkan lagi ty,harap ditingkatkan lagi ty,"['harap', 'ditingkatkan', 'lagi', 'ty']","['harap', 'ditingkatkan', 'ty']",harap tingkat ty,Positif,Positif,Umum
2026-05-16 12:45:46,Killa Runa,2,eror mulu mau masuk,eror mulu mau masuk,eror mulu mau masuk,eror mulu mau masuk,"['eror', 'mulu', 'mau', 'masuk']","['eror', 'mulu', 'masuk']",eror mulu masuk,Negatif,Negatif,Login & Akun
2026-05-16 12:17:38,Naya 12,5,"bagus, pesanan selalu sesuai, pengirimannya ramah",bagus pesanan selalu sesuai pengirimannya ramah,bagus pesanan selalu sesuai pengirimannya ramah,bagus pesanan selalu sesuai pengirimannya ramah,"['bagus', 'pesanan', 'selalu', 'sesuai', 'pengirimannya', 'ramah']","['bagus', 'pesanan', 'sesuai', 'pengirimannya', 'ramah']",bagus pesan sesuai kirim ramah,Positif,Positif,Layanan Pengiriman
2026-05-16 12:11:51,Fadhli Muzhafar,2,"alfagift kl ksh vocher gak niat, tiap mau pake vocher yg diskon pasti barangnya kosong. gajelas",alfagift kl ksh vocher gak niat tiap mau pake vocher yg diskon pasti barangnya kosong gajelas,alfagift kl ksh vocher gak niat tiap mau pake vocher yg diskon pasti barangnya kosong gajelas,alfagift kalau kasih vocher tidak niat tiap mau pakai vocher yang diskon pasti barangnya kosong gajelas,"['alfagift', 'kalau', 'kasih', 'vocher', 'tidak', 'niat', 'tiap', 'mau', 'pakai', 'vocher', 'yang', 'diskon', 'pasti', 'barangnya', 'kosong', 'gajelas']","['alfagift', 'kasih', 'vocher', 'niat', 'pakai', 'vocher', 'diskon', 'barangnya', 'kosong', 'gajelas']",alfagift kasih vocher niat pakai vocher diskon barang kosong gajelas,Negatif,Negatif,Promo & Voucher
2026-05-16 12:04:24,Arijal Mutakin,1,"pertama pesen masih ok lah, pas kedua ketiga klinya dst parah banyak alesan mulu buat cancel, motornya tabrakan lah, barang expired lah, minta dituker gk bisa dll, kapok dah kirain bnran bisa diandelin buat keseharian.. btw alfamartnya yg di citra indah bogor ya",pertama pesen masih ok lah pas kedua ketiga klinya dst parah banyak alesan mulu buat cancel motornya tabrakan lah barang expired lah minta dituker gk bisa dll kapok dah kirain bnran bisa diandelin buat keseharian btw alfamartnya yg di citra indah bogor ya,pertama pesen masih ok lah pas kedua ketiga klinya dst parah banyak alesan mulu buat cancel motornya tabrakan lah barang expired lah minta dituker gk bisa dll kapok dah kirain bnran bisa diandelin buat keseharian btw alfamartnya yg di citra indah bogor ya,pertama pesan masih ok lah pas kedua ketiga klinya dst parah banyak alesan mulu buat cancel motornya tabrakan lah barang expired lah meminta dituker tidak bisa dll kapok sudah mengira benaran bisa diandelin buat keseharian btw alfamartnya yang di citra indah bogor ya,"['pertama', 'pesan', 'masih', 'ok', 'lah', 'pas', 'kedua', 'ketiga', 'klinya', 'dst', 'parah', 'banyak', 'alesan', 'mulu', 'buat', 'cancel', 'motornya', 'tabrakan', 'lah', 'barang', 'expired', 'lah', 'meminta', 'dituker', 'tidak', 'bisa', 'dll', 'kapok', 'sudah', 'mengira', 'benaran', 'bisa', 'diandelin', 'buat', 'keseharian', 'btw', 'alfamartnya', 'yang', 'di', 'citra', 'indah', 'bogor', 'ya']","['pesan', 'ok', 'pas', 'ketiga', 'klinya', 'dst', 'parah', 'alesan', 'mulu', 'cancel', 'motornya', 'tabrakan', 'barang', 'expired', 'dituker', 'dll', 'kapok', 'benaran', 'diandelin', 'keseharian', 'btw', 'alfamartnya', 'citra', 'indah', 'bogor', 'ya']",pesan ok pas tiga klinya dst parah alesan mulu cancel motor tabrak barang expired dituker dll kapok benar diandelin hari btw alfamartnya citra indah bogor ya,Negatif,Negatif,Umum
2026-05-16 11:34:46,Sheva Haidar A,2,"minus cuma di proses pengiriman, petugas pengiriman nya komunikasi nya jelek semua, tolong diperbaiki",minus cuma di proses pengiriman petugas pengiriman nya komunikasi nya jelek semua tolong diperbaiki,minus cuma di proses pengiriman petugas pengiriman nya komunikasi nya jelek semua tolong diperbaiki,minus cuma di proses pengiriman petugas pengiriman ya komunikasi ya jelek semua tolong diperbaiki,"['minus', 'cuma', 'di', 'proses', 'pengiriman', 'petugas', 'pengiriman', 'ya', 'komunikasi', 'ya', 'jelek', 'semua', 'tolong', 'diperbaiki']","['minus', 'proses', 'pengiriman', 'petugas', 'pengiriman', 'ya', 'komunikasi', 'ya', 'jelek', 'tolong', 'diperbaiki']",minus proses kirim tugas kirim ya komunikasi ya jelek tolong baik,Negatif,Negatif,Layanan Pengiriman
2026-05-16 11:11:36,madros wangsadimeja,1,layar hanya bergulir ke atas ketika akan melakukan pembayaran,layar hanya bergulir ke atas ketika akan melakukan pembayaran,layar hanya bergulir ke atas ketika akan melakukan pembayaran,layar hanya bergulir ke atas ketika akan melakukan pembayaran,"['layar', 'hanya', 'bergulir', 'ke', 'atas', 'ketika', 'akan', 'melakukan', 'pembayaran']","['layar', 'bergulir', 'pembayaran']",layar gulir bayar,Negatif,Negatif,Pembayaran
2026-05-16 10:49:36,R. Candra,1,"Aplikasi heran, beli rokok ga tersedia bisa kalo kondom mah ada , di website juga susah beli rokok. 🤣",Aplikasi heran beli rokok ga tersedia bisa kalo kondom mah ada  di website juga susah beli rokok ,aplikasi heran beli rokok ga tersedia bisa kalo kondom mah ada  di website juga susah beli rokok ,aplikasi heran beli rokok tidak tersedia bisa kalau kondom mah ada di website juga susah beli rokok,"['aplikasi', 'heran', 'beli', 'rokok', 'tidak', 'tersedia', 'bisa', 'kalau', 'kondom', 'mah', 'ada', 'di', 'website', 'juga', 'susah', 'beli', 'rokok']","['aplikasi', 'heran', 'beli', 'rokok', 'tersedia', 'kondom', 'mah', 'website', 'susah', 'beli', 'rokok']",aplikasi heran beli rokok sedia kondom mah website susah beli rokok,Negatif,Negatif,Aplikasi & Bug
2026-05-16 10:39:28,Kamelia Magi,3,bagus sih cuman terbatas lokasi nya aku gk bisa pesan soalnya lokasi ku gak bisa,bagus sih cuman terbatas lokasi nya aku gk bisa pesan soalnya lokasi ku gak bisa,bagus sih cuman terbatas lokasi nya aku gk bisa pesan soalnya lokasi ku gak bisa,bagus sih cuman terbatas lokasi ya aku tidak bisa pesan soalnya lokasi ku tidak bisa,"['bagus', 'sih', 'cuman', 'terbatas', 'lokasi', 'ya', 'aku', 'tidak', 'bisa', 'pesan', 'soalnya', 'lokasi', 'ku', 'tidak', 'bisa']","['bagus', 'sih', 'cuman', 'terbatas', 'lokasi', 'ya', 'pesan', 'lokasi', 'ku']",bagus sih cuman batas lokasi ya pesan lokasi ku,Negatif,Negatif,Umum
2026-05-16 10:24:26,Galvo Whibley,1,refound dana terlalu lama dan ribet. hapus aja opsi refound ga guna juga. apk payah.,refound dana terlalu lama dan ribet hapus aja opsi refound ga guna juga apk payah,refound dana terlalu lama dan ribet hapus aja opsi refound ga guna juga apk payah,refound dana terlalu lama dan ribet hapus saja opsi refound tidak guna juga apk payah,"['refound', 'dana', 'terlalu', 'lama', 'dan', 'ribet', 'hapus', 'saja', 'opsi', 'refound', 'tidak', 'guna', 'juga', 'apk', 'payah']","['refound', 'dana', 'ribet', 'hapus', 'opsi', 'refound', 'apk', 'payah']",refound dana ribet hapus opsi refound apk payah,Negatif,Negatif,Pembayaran
2026-05-16 09:59:28,Rahmat Juliady,3,sangat bermanfaat bagi yang ingin belanja tapi malas keluar rumah..sukses selalu untuk aplikasi alfagift,sangat bermanfaat bagi yang ingin belanja tapi malas keluar rumahsukses selalu untuk aplikasi alfagift,sangat bermanfaat bagi yang ingin belanja tapi malas keluar rumahsukses selalu untuk aplikasi alfagift,sangat bermanfaat bagi yang ingin belanja tapi malas keluar rumahsukses selalu untuk aplikasi alfagift,"['sangat', 'bermanfaat', 'bagi', 'yang', 'ingin', 'belanja', 'tapi', 'malas', 'keluar', 'rumahsukses', 'selalu', 'untuk', 'aplikasi', 'alfagift']","['bermanfaat', 'belanja', 'malas', 'rumahsukses', 'aplikasi', 'alfagift']",manfaat belanja malas rumahsukses aplikasi alfagift,Negatif,Negatif,Aplikasi & Bug
2026-05-16 09:44:52,Trisa Handmade,1,aplikasi eror g bisa dibuka dari kemarin muncul 30001 mulu,aplikasi eror g bisa dibuka dari kemarin muncul  mulu,aplikasi eror g bisa dibuka dari kemarin muncul  mulu,aplikasi eror tidak bisa dibuka dari kemarin muncul mulu,"['aplikasi', 'eror', 'tidak', 'bisa', 'dibuka', 'dari', 'kemarin', 'muncul', 'mulu']","['aplikasi', 'eror', 'dibuka', 'kemarin', 'muncul', 'mulu']",aplikasi eror buka kemarin muncul mulu,Negatif,Negatif,Aplikasi & Bug
2026-05-16 09:30:18,Zainal Abidin,3,kenapa setelah di install aplikasinya tidak dapat dibuka selalu muncul notifikasi vulnerable tools detected,kenapa setelah di install aplikasinya tidak dapat dibuka selalu muncul notifikasi vulnerable tools detected,kenapa setelah di install aplikasinya tidak dapat dibuka selalu muncul notifikasi vulnerable tools detected,kenapa setelah di install aplikasinya tidak dapat dibuka selalu muncul notifikasi vulnerable tools detected,"['kenapa', 'setelah', 'di', 'install', 'aplikasinya', 'tidak', 'dapat', 'dibuka', 'selalu', 'muncul', 'notifikasi', 'vulnerable', 'tools', 'detected']","['install', 'aplikasinya', 'dibuka', 'muncul', 'notifikasi', 'vulnerable', 'tools', 'detected']",install aplikasi buka muncul notifikasi vulnerable tools detected,Negatif,Negatif,Aplikasi & Bug
2026-05-16 07:52:30,Elgio Adzani,1,aplikasi lemot,aplikasi lemot,aplikasi lemot,aplikasi lemot,"['aplikasi', 'lemot']","['aplikasi', 'lemot']",aplikasi lot,Negatif,Negatif,Aplikasi & Bug
2026-05-16 07:08:19,Baby Cute,3,"tidak bisa daftar berkali"", infonya sesi terlalu lama. pdahal proses input dsta gk sampai 5 mnt sudah selesai tp ttp gagal terus",tidak bisa daftar berkali infonya sesi terlalu lama pdahal proses input dsta gk sampai  mnt sudah selesai tp ttp gagal terus,tidak bisa daftar berkali infonya sesi terlalu lama pdahal proses input dsta gk sampai  mnt sudah selesai tp ttp gagal terus,tidak bisa daftar berkali infonya sesi terlalu lama padahal proses input dsta tidak sampai minta sudah selesai tapi tetap gagal terus,"['tidak', 'bisa', 'daftar', 'berkali', 'infonya', 'sesi', 'terlalu', 'lama', 'padahal', 'proses', 'input', 'dsta', 'tidak', 'sampai', 'minta', 'sudah', 'selesai', 'tapi', 'tetap', 'gagal', 'terus']","['daftar', 'berkali', 'infonya', 'sesi', 'proses', 'input', 'dsta', 'selesai', 'gagal']",daftar kali info sesi proses input dsta selesai gagal,Negatif,Negatif,Login & Akun
2026-05-16 06:54:45,Susilawati S. Putri,1,"Aduh mau belanja online di AlfaGift malah gabisa dibuka aplikasinya.., Tolong dong diperbaiki perfomanya...",Aduh mau belanja online di AlfaGift malah gabisa dibuka aplikasinya Tolong dong diperbaiki perfomanya,aduh mau belanja online di alfagift malah gabisa dibuka aplikasinya tolong dong diperbaiki perfomanya,aduh mau belanja online di alfagift malah gabisa dibuka aplikasinya tolong dong diperbaiki perfomanya,"['aduh', 'mau', 'belanja', 'online', 'di', 'alfagift', 'malah', 'gabisa', 'dibuka', 'aplikasinya', 'tolong', 'dong', 'diperbaiki', 'perfomanya']","['aduh', 'belanja', 'online', 'alfagift', 'gabisa', 'dibuka', 'aplikasinya', 'tolong', 'diperbaiki', 'perfomanya']",aduh belanja online alfagift gabisa buka aplikasi tolong baik perfomanya,Negatif,Negatif,Aplikasi & Bug
2026-05-16 06:54:19,heru murtado,1,susah banget buat batalin pesanan atau refund. tidak menyenangkan,susah banget buat batalin pesanan atau refund tidak menyenangkan,susah banget buat batalin pesanan atau refund tidak menyenangkan,susah banget buat batalin pesanan atau refund tidak menyenangkan,"['susah', 'banget', 'buat', 'batalin', 'pesanan', 'atau', 'refund', 'tidak', 'menyenangkan']","['susah', 'banget', 'batalin', 'pesanan', 'refund', 'menyenangkan']",susah banget batalin pesan refund senang,Negatif,Negatif,Umum
2026-05-16 06:23:09,Galih Moenawar Y.,5,layanan cepat dan memuaskan,layanan cepat dan memuaskan,layanan cepat dan memuaskan,layanan cepat dan memuaskan,"['layanan', 'cepat', 'dan', 'memuaskan']","['layanan', 'cepat', 'memuaskan']",layan cepat muas,Positif,Positif,Umum
2026-05-16 05:07:17,Andry Ndut,1,ribet cok mau beli rokok online...,ribet cok mau beli rokok online,ribet cok mau beli rokok online,ribet cok mau beli rokok online,"['ribet', 'cok', 'mau', 'beli', 'rokok', 'online']","['ribet', 'cok', 'beli', 'rokok', 'online']",ribet cok beli rokok online,Negatif,Negatif,Umum
2026-05-16 03:40:37,Shila Aflah,2,"saya ada keperluan untuk melihat dan meminta struk transaksi di aplikasi atas pembelian barang yg sudah saya lakukan beberapa hari lalu, dibilang ditungu sampai 1x24 jam sekarang sudah 3x24jam tetep tidak ada respon padahal saya perlu struk tersebut untuk refund karna saldo saya sudah kepotong tetapi dikomputer kasih katanya belum terbayar",saya ada keperluan untuk melihat dan meminta struk transaksi di aplikasi atas pembelian barang yg sudah saya lakukan beberapa hari lalu dibilang ditungu sampai x jam sekarang sudah xjam tetep tidak ada respon padahal saya perlu struk tersebut untuk refund karna saldo saya sudah kepotong tetapi dikomputer kasih katanya belum terbayar,saya ada keperluan untuk melihat dan meminta struk transaksi di aplikasi atas pembelian barang yg sudah saya lakukan beberapa hari lalu dibilang ditungu sampai x jam sekarang sudah xjam tetep tidak ada respon padahal saya perlu struk tersebut untuk refund karna saldo saya sudah kepotong tetapi dikomputer kasih katanya belum terbayar,saya ada keperluan untuk melihat dan meminta struk transaksi di aplikasi atas pembelian barang yang sudah saya lakukan beberapa hari lalu dibilang ditungu sampai kali jam sekarang sudah xjam tetap tidak ada respon padahal saya perlu struk tersebut untuk refund karena saldo saya sudah kepotong tetapi dikomputer kasih katanya belum terbayar,"['saya', 'ada', 'keperluan', 'untuk', 'melihat', 'dan', 'meminta', 'struk', 'transaksi', 'di', 'aplikasi', 'atas', 'pembelian', 'barang', 'yang', 'sudah', 'saya', 'lakukan', 'beberapa', 'hari', 'lalu', 'dibilang', 'ditungu', 'sampai', 'kali', 'jam', 'sekarang', 'sudah', 'xjam', 'tetap', 'tidak', 'ada', 'respon', 'padahal', 'saya', 'perlu', 'struk', 'tersebut', 'untuk', 'refund', 'karena', 'saldo', 'saya', 'sudah', 'kepotong', 'tetapi', 'dikomputer', 'kasih', 'katanya', 'belum', 'terbayar']","['keperluan', 'struk', 'transaksi', 'aplikasi', 'pembelian', 'barang', 'lakukan', 'dibilang', 'ditungu', 'kali', 'jam', 'xjam', 'respon', 'struk', 'refund', 'saldo', 'kepotong', 'dikomputer', 'kasih', 'terbayar']",perlu struk transaksi aplikasi beli barang laku bilang tungu kali jam xjam respon struk refund saldo potong komputer kasih bayar,Negatif,Negatif,Pembayaran
2026-05-15 17:34:24,Anton Zakiesz,1,"mohon di batasi klo memang kurir tidak bisa mengantar di jam tertentu, agar tidak terjadi penundaan pengiriman di hari berikutnya sedangkan pesanan instant. kasian pelanggan klo memerlukan barang itu secepatnya, apa lagi uangnya beli cuma cukup untuk beli itu saja. jadi tidak bisa buat alternatif lainnya.",mohon di batasi klo memang kurir tidak bisa mengantar di jam tertentu agar tidak terjadi penundaan pengiriman di hari berikutnya sedangkan pesanan instant kasian pelanggan klo memerlukan barang itu secepatnya apa lagi uangnya beli cuma cukup untuk beli itu saja jadi tidak bisa buat alternatif lainnya,mohon di batasi klo memang kurir tidak bisa mengantar di jam tertentu agar tidak terjadi penundaan pengiriman di hari berikutnya sedangkan pesanan instant kasian pelanggan klo memerlukan barang itu secepatnya apa lagi uangnya beli cuma cukup untuk beli itu saja jadi tidak bisa buat alternatif lainnya,mohon di batasi kalau memang kurir tidak bisa mengantar di jam tertentu agar tidak terjadi penundaan pengiriman di hari berikutnya sedangkan pesanan instant kasihan pelanggan kalau memerlukan barang itu secepatnya apa lagi uangnya beli cuma cukup untuk beli itu saja jadi tidak bisa buat alternatif lainnya,"['mohon', 'di', 'batasi', 'kalau', 'memang', 'kurir', 'tidak', 'bisa', 'mengantar', 'di', 'jam', 'tertentu', 'agar', 'tidak', 'terjadi', 'penundaan', 'pengiriman', 'di', 'hari', 'berikutnya', 'sedangkan', 'pesanan', 'instant', 'kasihan', 'pelanggan', 'kalau', 'memerlukan', 'barang', 'itu', 'secepatnya', 'apa', 'lagi', 'uangnya', 'beli', 'cuma', 'cukup', 'untuk', 'beli', 'itu', 'saja', 'jadi', 'tidak', 'bisa', 'buat', 'alternatif', 'lainnya']","['mohon', 'batasi', 'kurir', 'mengantar', 'jam', 'penundaan', 'pengiriman', 'pesanan', 'instant', 'kasihan', 'pelanggan', 'barang', 'secepatnya', 'uangnya', 'beli', 'beli', 'alternatif']",mohon batas kurir antar jam tunda kirim pesan instant kasihan langgan barang cepat uang beli beli alternatif,Negatif,Negatif,Layanan Pengiriman
2026-05-15 16:00:19,Dylah,3,"apk nya ngelag banget di pake, buat scroll lelet",apk nya ngelag banget di pake buat scroll lelet,apk nya ngelag banget di pake buat scroll lelet,apk ya ngelag banget di pakai buat scroll lelet,"['apk', 'ya', 'ngelag', 'banget', 'di', 'pakai', 'buat', 'scroll', 'lelet']","['apk', 'ya', 'ngelag', 'banget', 'pakai', 'scroll', 'lelet']",apk ya ngelag banget pakai scroll lelet,Negatif,Negatif,Umum
